text,class,__index_level_0__
"A 36-year-old individual, working in the Private sector, has an education level of Bachelors. They are Married-civ-spouse, working as Tech-support, and have a Husband relationship.They belong to the White race, are Male",0,1123
"A 31-year-old individual, working in the Private sector, has an education level of Masters. They are Married-civ-spouse, working as Prof-specialty, and have a Wife relationship.They belong to the White race, are Female",0,188
"A 27-year-old individual, working in the Private sector, has an education level of 11th. They are Married-civ-spouse, working as Handlers-cleaners, and have a Husband relationship.They belong to the White race, are Male",0,30204
"A 25-year-old individual, working in the State-gov sector, has an education level of Bachelors. They are Never-married, working as Other-service, and have a Not-in-family relationship.They belong to the White race, are Female",0,25556
"A 46-year-old individual, working in the Local-gov sector, has an education level of HS-grad. They are Divorced, working as Adm-clerical, and have a Unmarried relationship.They belong to the White race, are Female",0,3087
"A 27-year-old individual, working in the Private sector, has an education level of HS-grad. They are Never-married, working as Other-service, and have a Not-in-family relationship.They belong to the White race, are Female",0,4427
"A 23-year-old individual, working in the nan sector, has an education level of Some-college. They are Never-married, working as nan, and have a Own-child relationship.They belong to the White race, are Female",0,32990
"A 66-year-old individual, working in the Self-emp-not-inc sector, has an education level of HS-grad. They are Married-civ-spouse, working as Farming-fishing, and have a Husband relationship.They belong to the White race, are Male",0,2002
"A 36-year-old individual, working in the Private sector, has an education level of HS-grad. They are Divorced, working as Handlers-cleaners, and have a Unmarried relationship.They belong to the White race, are Female",0,26342
"A 38-year-old individual, working in the Self-emp-not-inc sector, has an education level of Some-college. They are Never-married, working as Craft-repair, and have a Own-child relationship.They belong to the White race, are Male",0,43458
"A 43-year-old individual, working in the Private sector, has an education level of HS-grad. They are Separated, working as Exec-managerial, and have a Unmarried relationship.They belong to the Black race, are Female",0,20875
"A 21-year-old individual, working in the Private sector, has an education level of 5th-6th. They are Never-married, working as Craft-repair, and have a Not-in-family relationship.They belong to the Other race, are Male",0,40527
"A 26-year-old individual, working in the Private sector, has an education level of 11th. They are Married-civ-spouse, working as Machine-op-inspct, and have a Husband relationship.They belong to the White race, are Male",0,25114
"A 26-year-old individual, working in the Private sector, has an education level of Assoc-acdm. They are Never-married, working as Tech-support, and have a Own-child relationship.They belong to the White race, are Male",0,10713
"A 45-year-old individual, working in the Private sector, has an education level of 11th. They are Separated, working as Tech-support, and have a Unmarried relationship.They belong to the White race, are Female",0,47557
"A 63-year-old individual, working in the Private sector, has an education level of Some-college. They are Married-civ-spouse, working as Prof-specialty, and have a Husband relationship.They belong to the White race, are Male",0,16272
"A 40-year-old individual, working in the Private sector, has an education level of HS-grad. They are Never-married, working as Other-service, and have a Own-child relationship.They belong to the White race, are Male",0,6257
"A 22-year-old individual, working in the Private sector, has an education level of 11th. They are Never-married, working as Craft-repair, and have a Not-in-family relationship.They belong to the White race, are Male",0,14769
"A 34-year-old individual, working in the Private sector, has an education level of Some-college. They are Married-civ-spouse, working as Handlers-cleaners, and have a Husband relationship.They belong to the White race, are Male",0,40887
"A 25-year-old individual, working in the Private sector, has an education level of HS-grad. They are Never-married, working as Transport-moving, and have a Other-relative relationship.They belong to the White race, are Male",0,5401
"A 43-year-old individual, working in the Private sector, has an education level of HS-grad. They are Separated, working as Craft-repair, and have a Not-in-family relationship.They belong to the White race, are Male",0,37261
"A 20-year-old individual, working in the ? sector, has an education level of 11th. They are Divorced, working as ?, and have a Not-in-family relationship.They belong to the White race, are Female",0,17643
"A 19-year-old individual, working in the Private sector, has an education level of 12th. They are Never-married, working as Other-service, and have a Own-child relationship.They belong to the White race, are Female",0,18581
"A 33-year-old individual, working in the ? sector, has an education level of Some-college. They are Never-married, working as ?, and have a Own-child relationship.They belong to the White race, are Male",0,18846
"A 57-year-old individual, working in the Private sector, has an education level of Masters. They are Never-married, working as Prof-specialty, and have a Not-in-family relationship.They belong to the White race, are Male",0,1929
"A 56-year-old individual, working in the Private sector, has an education level of Some-college. They are Never-married, working as Other-service, and have a Not-in-family relationship.They belong to the White race, are Male",0,35134
"A 35-year-old individual, working in the Private sector, has an education level of HS-grad. They are Married-civ-spouse, working as Transport-moving, and have a Husband relationship.They belong to the White race, are Male",0,4188
"A 60-year-old individual, working in the ? sector, has an education level of HS-grad. They are Married-civ-spouse, working as ?, and have a Husband relationship.They belong to the White race, are Male",0,4752
"A 52-year-old individual, working in the Private sector, has an education level of 7th-8th. They are Divorced, working as Machine-op-inspct, and have a Not-in-family relationship.They belong to the White race, are Female",0,9879
"A 34-year-old individual, working in the Self-emp-not-inc sector, has an education level of Some-college. They are Never-married, working as Farming-fishing, and have a Not-in-family relationship.They belong to the White race, are Male",0,41694
"A 30-year-old individual, working in the Private sector, has an education level of HS-grad. They are Married-civ-spouse, working as Protective-serv, and have a Husband relationship.They belong to the White race, are Male",0,24294
"A 23-year-old individual, working in the Private sector, has an education level of Bachelors. They are Never-married, working as Sales, and have a Own-child relationship.They belong to the White race, are Female",0,21581
"A 23-year-old individual, working in the Private sector, has an education level of Some-college. They are Never-married, working as Adm-clerical, and have a Own-child relationship.They belong to the White race, are Female",0,34159
"A 23-year-old individual, working in the Private sector, has an education level of Bachelors. They are Never-married, working as Other-service, and have a Not-in-family relationship.They belong to the White race, are Male",0,29374
"A 61-year-old individual, working in the Private sector, has an education level of Bachelors. They are Married-civ-spouse, working as Prof-specialty, and have a Husband relationship.They belong to the White race, are Male",0,26159
"A 69-year-old individual, working in the Private sector, has an education level of Bachelors. They are Married-civ-spouse, working as Sales, and have a Husband relationship.They belong to the White race, are Male",0,45283
"A 25-year-old individual, working in the Local-gov sector, has an education level of Masters. They are Never-married, working as Protective-serv, and have a Not-in-family relationship.They belong to the White race, are Male",0,3507
"A 43-year-old individual, working in the nan sector, has an education level of HS-grad. They are Divorced, working as nan, and have a Not-in-family relationship.They belong to the Amer-Indian-Eskimo race, are Male",0,45744
"A 38-year-old individual, working in the Private sector, has an education level of Some-college. They are Never-married, working as Sales, and have a Not-in-family relationship.They belong to the White race, are Male",0,20058
"A 72-year-old individual, working in the Self-emp-not-inc sector, has an education level of Some-college. They are Married-civ-spouse, working as Other-service, and have a Husband relationship.They belong to the White race, are Male",0,38564
"A 40-year-old individual, working in the Private sector, has an education level of HS-grad. They are Never-married, working as Handlers-cleaners, and have a Own-child relationship.They belong to the White race, are Male",0,3972
"A 19-year-old individual, working in the Private sector, has an education level of 11th. They are Never-married, working as Other-service, and have a Not-in-family relationship.They belong to the White race, are Female",0,12813
"A 52-year-old individual, working in the Private sector, has an education level of Bachelors. They are Married-civ-spouse, working as Craft-repair, and have a Husband relationship.They belong to the Asian-Pac-Islander race, are Male",0,24629
"A 43-year-old individual, working in the Private sector, has an education level of Bachelors. They are Never-married, working as Adm-clerical, and have a Not-in-family relationship.They belong to the White race, are Male",0,32393
"A 20-year-old individual, working in the Private sector, has an education level of Some-college. They are Never-married, working as Farming-fishing, and have a Own-child relationship.They belong to the White race, are Male",0,24127
"A 40-year-old individual, working in the Private sector, has an education level of Bachelors. They are Married-civ-spouse, working as Machine-op-inspct, and have a Husband relationship.They belong to the White race, are Male",0,36529
"A 20-year-old individual, working in the Private sector, has an education level of Some-college. They are Never-married, working as Other-service, and have a Unmarried relationship.They belong to the White race, are Female",0,1274
"A 53-year-old individual, working in the Self-emp-inc sector, has an education level of Bachelors. They are Married-civ-spouse, working as Exec-managerial, and have a Husband relationship.They belong to the White race, are Male",0,47402
"A 35-year-old individual, working in the Self-emp-not-inc sector, has an education level of HS-grad. They are Married-civ-spouse, working as Craft-repair, and have a Husband relationship.They belong to the White race, are Male",0,18793
"A 39-year-old individual, working in the Self-emp-not-inc sector, has an education level of Masters. They are Never-married, working as Sales, and have a Not-in-family relationship.They belong to the White race, are Male",0,44079
"A 35-year-old individual, working in the Private sector, has an education level of Assoc-acdm. They are Married-civ-spouse, working as Exec-managerial, and have a Husband relationship.They belong to the White race, are Male",0,39883
"A 34-year-old individual, working in the Local-gov sector, has an education level of Some-college. They are Divorced, working as Protective-serv, and have a Unmarried relationship.They belong to the Black race, are Female",0,41472
"A 30-year-old individual, working in the Private sector, has an education level of Assoc-voc. They are Never-married, working as Prof-specialty, and have a Not-in-family relationship.They belong to the Black race, are Male",0,18713
"A 21-year-old individual, working in the Private sector, has an education level of HS-grad. They are Never-married, working as Craft-repair, and have a Not-in-family relationship.They belong to the White race, are Male",0,9841
"A 28-year-old individual, working in the Private sector, has an education level of Some-college. They are Divorced, working as Adm-clerical, and have a Unmarried relationship.They belong to the White race, are Female",0,45421
"A 35-year-old individual, working in the Private sector, has an education level of HS-grad. They are Never-married, working as Transport-moving, and have a Not-in-family relationship.They belong to the White race, are Male",0,41167
"A 32-year-old individual, working in the Private sector, has an education level of Some-college. They are Married-civ-spouse, working as Craft-repair, and have a Husband relationship.They belong to the White race, are Male",0,29815
"A 51-year-old individual, working in the Federal-gov sector, has an education level of Some-college. They are Married-civ-spouse, working as Protective-serv, and have a Husband relationship.They belong to the Asian-Pac-Islander race, are Male",0,4197
"A 57-year-old individual, working in the Self-emp-not-inc sector, has an education level of HS-grad. They are Married-civ-spouse, working as Machine-op-inspct, and have a Husband relationship.They belong to the White race, are Male",0,41509
"A 65-year-old individual, working in the Federal-gov sector, has an education level of 10th. They are Divorced, working as Craft-repair, and have a Unmarried relationship.They belong to the White race, are Male",0,14289
"A 48-year-old individual, working in the Self-emp-not-inc sector, has an education level of 7th-8th. They are Never-married, working as Farming-fishing, and have a Not-in-family relationship.They belong to the White race, are Male",0,16555
"A 46-year-old individual, working in the Private sector, has an education level of HS-grad. They are Married-civ-spouse, working as Other-service, and have a Wife relationship.They belong to the White race, are Female",0,26063
"A 23-year-old individual, working in the nan sector, has an education level of Some-college. They are Never-married, working as nan, and have a Own-child relationship.They belong to the White race, are Female",0,34026
"A 35-year-old individual, working in the Private sector, has an education level of Masters. They are Married-civ-spouse, working as Exec-managerial, and have a Husband relationship.They belong to the White race, are Male",0,42408
"A 27-year-old individual, working in the Private sector, has an education level of Some-college. They are Divorced, working as Adm-clerical, and have a Unmarried relationship.They belong to the Black race, are Female",0,20350
"A 27-year-old individual, working in the Private sector, has an education level of HS-grad. They are Never-married, working as Machine-op-inspct, and have a Not-in-family relationship.They belong to the White race, are Male",0,19191
"A 33-year-old individual, working in the Private sector, has an education level of 7th-8th. They are Married-civ-spouse, working as Farming-fishing, and have a Husband relationship.They belong to the White race, are Male",0,10997
